Months,Year,Fatalities
01/01/2017,2017,24
01/02/2017,2017,32
01/03/2017,2017,35
01/04/2017,2017,39
01/05/2017,2017,55
01/06/2017,2017,40
01/07/2017,2017,58
01/08/2017,2017,45
01/09/2017,2017,74
01/10/2017,2017,45
01/11/2017,2017,48
01/12/2017,2017,89
01/01/2018,2018,35
01/02/2018,2018,38
01/03/2018,2018,46
01/04/2018,2018,48
01/05/2018,2018,43
01/06/2018,2018,52
01/07/2018,2018,52
01/08/2018,2018,78
01/09/2018,2018,59
01/10/2018,2018,75
01/11/2018,2018,80
01/12/2018,2018,89
01/01/2019,2019,38
01/02/2019,2019,49
01/03/2019,2019,63
01/04/2019,2019,56
01/05/2019,2019,56
01/06/2019,2019,78
01/07/2019,2019,65
01/08/2019,2019,85
01/09/2019,2019,78
01/10/2019,2019,75
01/11/2019,2019,77
01/12/2019,2019,109
01/01/2020,2020,32
01/02/2020,2020,40
01/03/2020,2020,48
01/04/2020,2020,48
01/05/2020,2020,51
01/06/2020,2020,57
01/07/2020,2020,58
01/08/2020,2020,69
01/09/2020,2020,70
01/10/2020,2020,65
01/11/2020,2020,68
01/12/2020,2020,96
